,Date,Open,High,Low,Close
0,2024-11-05,0.9194,0.9195,0.9141,0.9147
1,2024-11-04,0.9222,0.9227,0.9168,0.9179
2,2024-10-31,0.9186,0.92179,0.91709,0.9186
3,2024-10-30,0.92088,0.92208,0.91841,0.92088
4,2024-10-29,0.92416,0.92507,0.92024,0.92416
5,2024-10-28,0.92449,0.92847,0.92368,0.92449
6,2024-10-27,0.92622,0.92741,0.9236,0.92622
7,2024-10-24,0.92386,0.92491,0.9223,0.92386
8,2024-10-23,0.9276,0.92837,0.92505,0.9276
9,2024-10-22,0.92616,0.92914,0.9252,0.92616
10,2024-10-21,0.9244,0.92576,0.9227,0.9244
11,2024-10-20,0.92008,0.92412,0.92,0.92008
12,2024-10-17,0.9234,0.92351,0.9205,0.9234
13,2024-10-16,0.9206,0.92474,0.91997,0.9206
14,2024-10-15,0.91877,0.92012,0.9173,0.91877
15,2024-10-14,0.91666,0.91863,0.9159,0.91666
16,2024-10-13,0.9153,0.91695,0.9141,0.9153
17,2024-10-10,0.91459,0.91513,0.91289,0.91459
18,2024-10-09,0.9138,0.91625,0.91287,0.9138
19,2024-10-08,0.9111,0.91402,0.9107,0.9111
20,2024-10-07,0.9111,0.91227,0.9093,0.9111
21,2024-10-06,0.9112,0.91278,0.91033,0.9112
22,2024-10-03,0.90616,0.91273,0.9058,0.90616
23,2024-10-02,0.9051,0.9083,0.9051,0.9051
24,2024-10-01,0.90384,0.90628,0.90235,0.90384
25,2024-09-30,0.89794,0.90407,0.8972,0.89794
26,2024-09-29,0.89527,0.89798,0.89219,0.89527
27,2024-09-26,0.89468,0.89875,0.89287,0.89468
28,2024-09-25,0.89839,0.89873,0.89369,0.89839
29,2024-09-24,0.89356,0.89753,0.89187,0.89356
30,2024-09-23,0.89995,0.90058,0.89578,0.89995
31,2024-09-22,0.89599,0.90213,0.8954,0.89599
32,2024-09-19,0.8959,0.89788,0.89432,0.8959
33,2024-09-18,0.8997,0.9033,0.8944,0.8997
34,2024-09-17,0.89903,0.90016,0.8976,0.89903
35,2024-09-16,0.89851,0.89984,0.89717,0.89851
36,2024-09-15,0.90184,0.90195,0.89804,0.90184
37,2024-09-12,0.9027,0.90302,0.9007,0.9027
38,2024-09-11,0.90819,0.90855,0.90518,0.90819
39,2024-09-10,0.90736,0.90886,0.90457,0.90736
40,2024-09-09,0.906,0.90775,0.90495,0.906
41,2024-09-08,0.90194,0.90621,0.9016,0.90194
42,2024-09-05,0.9,0.90357,0.89689,0.9
43,2024-09-04,0.90249,0.90292,0.89919,0.90249
44,2024-09-03,0.90507,0.90573,0.90139,0.90507
45,2024-09-02,0.90355,0.90631,0.9033,0.90355
46,2024-09-01,0.9054,0.90559,0.90272,0.9054
47,2024-08-29,0.90249,0.90465,0.90125,0.90249
48,2024-08-28,0.89888,0.90446,0.89765,0.89888
49,2024-08-27,0.89462,0.90046,0.8943,0.89462
50,2024-08-26,0.89568,0.89676,0.89449,0.89568
51,2024-08-25,0.89382,0.89663,0.89277,0.89382
52,2024-08-22,0.89951,0.90035,0.89318,0.89951
53,2024-08-21,0.89643,0.90096,0.89626,0.89643
54,2024-08-20,0.89864,0.90045,0.897,0.89864
55,2024-08-19,0.902,0.90314,0.8995,0.902
56,2024-08-18,0.90703,0.90712,0.90313,0.90703
57,2024-08-15,0.91135,0.91127,0.90873,0.91135
58,2024-08-14,0.908,0.9132,0.9077,0.908
59,2024-08-13,0.90934,0.91006,0.9051,0.90934
60,2024-08-12,0.91439,0.91611,0.9122,0.91439
61,2024-08-11,0.91627,0.91631,0.9141,0.91627
62,2024-08-08,0.91611,0.91662,0.9148,0.91611
63,2024-08-07,0.91507,0.91892,0.9135,0.91507
64,2024-08-06,0.91523,0.91685,0.91438,0.91523
65,2024-08-05,0.91316,0.91704,0.91215,0.91316
66,2024-08-04,0.91652,0.91796,0.90848,0.91652
67,2024-08-01,0.92699,0.92739,0.91523,0.92699
68,2024-07-31,0.92388,0.92779,0.9227,0.92388
69,2024-07-30,0.92455,0.92518,0.9215,0.92455
70,2024-07-29,0.92426,0.92593,0.9227,0.92426
71,2024-07-28,0.92134,0.92566,0.9198,0.92134
72,2024-07-25,0.92155,0.92228,0.92009,0.92155
73,2024-07-24,0.92255,0.92342,0.92044,0.92255
74,2024-07-23,0.9216,0.92364,0.92026,0.9216
75,2024-07-22,0.91829,0.92213,0.9174,0.91829
76,2024-07-21,0.9175,0.91965,0.9173,0.9175
77,2024-07-18,0.9173,0.91934,0.9173,0.9173
78,2024-07-17,0.91406,0.91698,0.9139,0.91406
79,2024-07-16,0.91722,0.91774,0.91348,0.91722
80,2024-07-15,0.9173,0.91978,0.9169,0.9173
81,2024-07-14,0.91865,0.91875,0.91559,0.91865
82,2024-07-11,0.91973,0.92055,0.91649,0.91973
83,2024-07-10,0.92308,0.92311,0.91757,0.92308
84,2024-07-09,0.92466,0.92491,0.92347,0.92466
85,2024-07-08,0.92328,0.92539,0.923,0.92328
86,2024-07-07,0.9237,0.92463,0.9219,0.9237
87,2024-07-04,0.92501,0.92501,0.92265,0.92501
88,2024-07-03,0.9265,0.92728,0.9245,0.9265
89,2024-07-02,0.93037,0.93135,0.92459,0.93037
90,2024-07-01,0.93135,0.93365,0.93057,0.93135
91,2024-06-30,0.93151,0.93277,0.9278,0.93151
92,2024-06-27,0.93384,0.9358,0.93275,0.93384
93,2024-06-26,0.93632,0.93652,0.9323,0.93632
94,2024-06-25,0.93374,0.93741,0.9328,0.93374
95,2024-06-24,0.93173,0.93526,0.9306,0.93173
96,2024-06-23,0.93565,0.93594,0.93049,0.93565
97,2024-06-20,0.93402,0.93704,0.9326,0.93402
98,2024-06-19,0.9301,0.93392,0.9302,0.9301
99,2024-06-18,0.9309,0.93229,0.92995,0.9309
100,2024-06-17,0.93104,0.93361,0.92926,0.93104
101,2024-06-16,0.93439,0.93566,0.9323,0.93439
102,2024-06-13,0.9312,0.93737,0.9306,0.9312
103,2024-06-12,0.9248,0.9299,0.9244,0.9248
104,2024-06-11,0.93107,0.93153,0.92151,0.93107
105,2024-06-10,0.929,0.93274,0.9282,0.929
106,2024-06-09,0.92774,0.93165,0.9274,0.92774
107,2024-06-06,0.9179,0.9255,0.91728,0.9179
108,2024-06-05,0.91958,0.9205,0.91754,0.91958
109,2024-06-04,0.91896,0.92073,0.91828,0.91896
110,2024-06-03,0.91681,0.92075,0.9159,0.91681
111,2024-06-02,0.9214,0.92353,0.9182,0.9214
112,2024-05-30,0.9229,0.92493,0.9189,0.9229
113,2024-05-29,0.92577,0.92687,0.922,0.92577
114,2024-05-28,0.9215,0.92511,0.9209,0.9215
115,2024-05-27,0.92065,0.92089,0.91832,0.92065
116,2024-05-26,0.92186,0.92236,0.9202,0.92186
117,2024-05-23,0.92484,0.9254,0.9211,0.92484
118,2024-05-22,0.92377,0.92481,0.9207,0.92377
119,2024-05-21,0.92122,0.924,0.9204,0.92122
120,2024-05-20,0.92074,0.922,0.9195,0.92074
121,2024-05-19,0.9195,0.92123,0.9187,0.9195
122,2024-05-16,0.92015,0.92282,0.91921,0.92015
123,2024-05-15,0.91829,0.92122,0.9177,0.91829
124,2024-05-14,0.92468,0.92476,0.9196,0.92468
125,2024-05-13,0.92648,0.92795,0.9235,0.92648
126,2024-05-12,0.92847,0.92881,0.9253,0.92847
127,2024-05-09,0.9272,0.92919,0.9265,0.9272
128,2024-05-08,0.9305,0.93239,0.9274,0.9305
129,2024-05-07,0.93019,0.93147,0.9295,0.93019
130,2024-05-06,0.92872,0.92973,0.9268,0.92872
131,2024-05-05,0.92953,0.92968,0.9266,0.92953
132,2024-05-02,0.9317,0.9324,0.92512,0.9317
133,2024-05-01,0.9327,0.9367,0.9319,0.9327
134,2024-04-30,0.93751,0.93896,0.93557,0.93751
135,2024-04-29,0.93321,0.93595,0.9314,0.93321
136,2024-04-28,0.93398,0.93537,0.9315,0.93398
137,2024-04-25,0.932,0.93672,0.92998,0.932
138,2024-04-24,0.93459,0.93644,0.9318,0.93459
139,2024-04-23,0.9342,0.9364,0.9332,0.9342
140,2024-04-22,0.93861,0.93991,0.93371,0.93861
141,2024-04-21,0.93828,0.94117,0.9371,0.93824
142,2024-04-18,0.93948,0.94235,0.9363,0.93948
143,2024-04-17,0.93726,0.93916,0.9353,0.93726
144,2024-04-16,0.94149,0.94267,0.93873,0.94149
145,2024-04-15,0.94111,0.94303,0.93861,0.94111
146,2024-04-14,0.939,0.9413,0.9376,0.939
147,2024-04-11,0.93224,0.94129,0.932,0.93224
148,2024-04-10,0.93095,0.93454,0.92973,0.93095
149,2024-04-09,0.92087,0.93164,0.9201,0.92087
150,2024-04-08,0.9205,0.92167,0.9184,0.9205
151,2024-04-07,0.92332,0.92408,0.92095,0.92332
152,2024-04-04,0.92276,0.92664,0.92179,0.92276
153,2024-04-03,0.92265,0.92293,0.91947,0.92265
154,2024-04-02,0.92863,0.92896,0.9232,0.92863
155,2024-04-01,0.93134,0.93237,0.92775,0.93134
156,2024-03-31,0.92655,0.93183,0.9258,0.92655
157,2024-03-28,0.9264,0.9286,0.9253,0.9264
158,2024-03-27,0.92478,0.92803,0.9235,0.92478
159,2024-03-26,0.92316,0.92492,0.92257,0.92316
160,2024-03-25,0.92266,0.9237,0.92046,0.92266
161,2024-03-24,0.92528,0.9257,0.9222,0.92528
162,2024-03-21,0.92061,0.92515,0.92,0.92061
163,2024-03-20,0.91431,0.92111,0.9137,0.91431
164,2024-03-19,0.92053,0.92277,0.9196,0.92053
165,2024-03-18,0.91963,0.92293,0.9193,0.91963
166,2024-03-17,0.9189,0.91905,0.9168,0.9189
167,2024-03-14,0.91883,0.91964,0.9173,0.91883
168,2024-03-13,0.9128,0.91877,0.91285,0.9128
169,2024-03-12,0.9151,0.91571,0.9133,0.9151
170,2024-03-11,0.9148,0.91716,0.9139,0.9148
171,2024-03-10,0.91383,0.9162,0.9132,0.91383
172,2024-03-07,0.91323,0.91516,0.91091,0.91323
173,2024-03-06,0.91747,0.92002,0.914,0.91747
174,2024-03-05,0.92115,0.92226,0.91625,0.92115
175,2024-03-04,0.92122,0.92228,0.91951,0.92122
176,2024-03-03,0.92228,0.92263,0.92026,0.92228
177,2024-02-29,0.9255,0.92599,0.92238,0.9255
178,2024-02-28,0.92261,0.92544,0.92116,0.92261
